,German,English
0,Ich,I
1,ist,is
2,ich,I
3,nicht,not
4,Sie,She
5,du,you
6,das,the
7,die,the
8,es,it
9,und,and
10,der,the
11,zu,to
12,sie,she
13,Das,The
14,ein,a
15,in,in
16,wir,we
17,Du,You
18,mir,me
19,mit,with
20,Was,What
21,den,the
22,mich,me
23,was,What
24,auf,on
25,dass,that
26,er,he
27,eine,one
28,Es,It
29,hat,has
30,Wir,We
31,Und,And
32,so,so
33,sind,are
34,von,from
35,dich,you
36,war,was
37,haben,have
38,für,for
39,Ja,Yes
40,hier,here
41,an,to
42,habe,have
43,Er,He
44,bin,am
45,wie,How
46,noch,still
47,dir,you
48,uns,us
49,sich,itself
50,Die,The
51,nur,only
52,einen,a
53,Nein,No
54,dem,dem
55,ihn,him
56,auch,also
57,hast,have
58,sein,be
59,ihr,her
60,da,there
61,aus,out of
62,kann,can
63,aber,but
64,Aber,But
65,schon,already
66,wenn,if
67,wird,becomes
68,um,around
69,Wie,How
70,als,as
71,bist,are
72,im,in the
73,mal,just
74,doch,but
75,gut,good
76,meine,mine
77,jetzt,now
78,weiß,white
79,Wenn,If
80,werden,become
81,Der,The
82,nach,after
83,ja,Yes
84,Oh,Oh
85,oder,or
86,dann,then
87,will,wants
88,mein,my
89,mehr,more
90,keine,no
91,etwas,something
92,alles,everything
93,muss,must
94,immer,always
95,nichts,nothing
96,man,man
97,wieder,again
98,bei,at
99,hab,have
100,machen,make
101,vor,before
102,Mann,Man
103,ihm,him
104,einem,one
105,tun,do
106,zum,for the
107,können,can
108,sagen,say
109,werde,become
110,denn,because
111,Ist,Is
112,Ein,A
113,Warum,Why
114,einer,one
115,gehen,go
116,sehen,see
117,sehr,very
118,geht,goes
119,alle,all
120,über,above
121,müssen,must
122,diese,this
123,einfach,simply
124,euch,you
125,des,des
126,nie,never
127,Also,So
128,Wo,Where
129,los,go
130,Zeit,Time
131,Ihnen,Them
132,gibt,gives
133,wirklich,really
134,Hey,Hey
135,Danke,Thanks
136,deine,your
137,würde,would
138,soll,should
139,Da,There
140,hatte,had
141,Hier,Here
142,wissen,knowledge
143,bitte,please
144,viel,much
145,Dann,Then
146,So,So
147,gesagt,said
148,Ihr,Her
149,am,on
150,kein,no
151,Komm,Come
152,Wer,Who
153,zurück,back
154,wurde,became
155,In,In
156,wollte,wanted
157,Frau,Woman
158,Leben,Life
159,wäre,were
160,wo,where
161,damit,with it
162,Nicht,Not
163,Gott,God
164,Leute,People
165,kannst,can
166,heute,today
167,meinen,mean
168,dieser,this
169,dein,your
170,kommt,comes
171,kommen,come
172,willst,want
173,Na,N/a
174,wollen,want
175,sicher,secure
176,ganz,quite
177,Jetzt,Now
178,Mein,My
179,Mr,Mr
180,also,so
181,zur,to
182,Hast,Have
183,Gut,Good
184,hätte,would have
185,weil,because
186,tut,does
187,Hallo,Hello
188,Okay,OK
189,macht,might
190,waren,were
191,bis,until
192,Vielleicht,Perhaps
193,könnte,could
194,Eine,One
195,Bitte,Please
196,weg,away
197,seine,his
198,lassen,let
199,Vater,Father
200,gesehen,seen
201,Nun,Well
202,gerade,straight
203,Alles,Everything
204,glaube,believe
205,Tag,day
206,ab,away
207,Geld,Money
208,gemacht,made
209,nein,no
210,Sir,Sir
211,sollte,should
212,sagte,said
213,keinen,none
214,durch,through
215,zwei,two
216,diesen,this one
217,passiert,happened
218,wohl,probably
219,vielleicht,perhaps
220,ihre,her
221,Mutter,Mother
222,reden,talk
223,anderen,others
224,dachte,thought
225,daß,that
226,möchte,want
227,wirst,will
228,gehört,heard
229,Keine,No
230,raus,out
231,Meine,Mine
232,paar,couple
233,besser,better
234,ob,whether
235,her,here
236,musst,must
237,Ordnung,Order
238,meiner,mine
239,klar,clear
240,ihnen,them
241,Los,Go
242,diesem,this one
243,meinem,mine
244,lange,long
245,Lass,Let
246,dieses,this
247,helfen,help
248,unsere,our
249,Weg,Away
250,selbst,himself
251,Nur,Only
252,finden,find
253,Mal,Just
254,jemand,someone
255,denke,think
256,Ach,Oh
257,Nacht,Night
258,genau,Exactly
259,gar,even
260,sagt,says
261,Welt,World
262,Auf,On
263,Mädchen,Girl
264,ins,into the
265,hin,there
266,vom,from the
267,schön,nice
268,warum,Why
269,weiter,further
270,Leid,Sorrow
271,gleich,even
272,wer,who
273,Man,Man
274,ohne,without
275,Menschen,People
276,deinen,yours
277,leid,sorrow
278,Wieso,How come
279,dort,there
280,Als,As
281,Hause,home
