,German,English
0,Ich,I
1,ist,is
2,ich,I
3,nicht,not
4,Sie,She
5,du,you
6,das,the
7,die,the
8,es,it
9,und,and
10,der,the
11,zu,to
12,sie,she
13,Das,The
14,ein,a
15,in,in
16,wir,we
17,Du,You
18,mir,me
19,mit,with
20,Was,What
21,den,the
22,mich,me
23,was,What
24,auf,on
25,dass,that
26,er,he
27,eine,one
28,Es,It
29,hat,has
30,Wir,We
31,Und,And
32,so,so
33,sind,are
34,von,from
35,dich,you
36,war,was
37,haben,have
38,für,for
39,Ja,Yes
40,hier,here
41,an,to
42,habe,have
43,Er,He
44,bin,am
45,wie,How
46,noch,still
47,dir,you
48,uns,us
49,sich,itself
50,Die,The
51,nur,only
52,einen,a
53,Nein,No
54,dem,dem
55,ihn,him
56,auch,also
57,hast,have
58,sein,be
59,ihr,her
60,aus,out of
61,kann,can
62,aber,but
63,Aber,But
64,schon,already
65,wenn,if
66,wird,becomes
67,um,around
68,Wie,How
69,als,as
70,bist,are
71,im,in the
72,mal,just
73,doch,but
74,gut,good
75,meine,mine
76,jetzt,now
77,weiß,white
78,Wenn,If
79,werden,become
80,Der,The
81,nach,after
82,ja,Yes
83,Oh,Oh
84,oder,or
85,dann,then
86,will,wants
87,mein,my
88,mehr,more
89,keine,no
90,etwas,something
91,alles,everything
92,muss,must
93,immer,always
94,nichts,nothing
95,man,man
96,wieder,again
97,bei,at
98,hab,have
99,machen,make
100,vor,before
101,Mann,Man
102,ihm,him
103,einem,one
104,tun,do
105,zum,for the
106,können,can
107,sagen,say
108,werde,become
109,denn,because
110,Ein,A
111,Warum,Why
112,einer,one
113,gehen,go
114,sehen,see
115,sehr,very
116,geht,goes
117,alle,all
118,über,above
119,müssen,must
120,diese,this
121,einfach,simply
122,euch,you
123,des,des
124,nie,never
125,Also,So
126,Wo,Where
127,los,go
128,Zeit,Time
129,Ihnen,Them
130,gibt,gives
131,wirklich,really
132,Hey,Hey
133,Danke,Thanks
134,deine,your
135,würde,would
136,soll,should
137,Da,There
138,hatte,had
139,Hier,Here
140,wissen,knowledge
141,bitte,please
142,viel,much
143,Dann,Then
144,So,So
145,gesagt,said
146,Ihr,Her
147,am,on
148,kein,no
149,Komm,Come
150,Wer,Who
151,zurück,back
152,wurde,became
153,In,In
154,wollte,wanted
155,Frau,Woman
156,wäre,were
157,wo,where
158,damit,with it
159,Nicht,Not
160,Gott,God
161,Leute,People
162,kannst,can
163,heute,today
164,meinen,mean
165,dieser,this
166,dein,your
167,kommt,comes
168,kommen,come
169,willst,want
170,Na,N/a
171,wollen,want
172,sicher,secure
173,ganz,quite
174,Jetzt,Now
175,Mein,My
176,Mr,Mr
177,also,so
178,zur,to
179,Hast,Have
180,Gut,Good
181,hätte,would have
182,weil,because
183,tut,does
184,Hallo,Hello
185,Okay,OK
186,macht,might
187,waren,were
188,bis,until
189,Vielleicht,Perhaps
190,könnte,could
191,Eine,One
192,Bitte,Please
193,weg,away
194,seine,his
195,lassen,let
196,Vater,Father
197,Nun,Well
198,gerade,straight
199,Alles,Everything
200,Tag,day
201,ab,away
202,Geld,Money
203,gemacht,made
204,nein,no
205,Sir,Sir
206,sollte,should
207,sagte,said
208,keinen,none
209,durch,through
210,zwei,two
211,diesen,this one
212,passiert,happened
213,wohl,probably
214,vielleicht,perhaps
215,ihre,her
216,Mutter,Mother
217,reden,talk
218,anderen,others
219,dachte,thought
220,daß,that
221,möchte,want
222,wirst,will
223,weißt,know
224,Keine,No
225,raus,out
226,Meine,Mine
227,paar,couple
228,besser,better
229,ob,whether
230,her,here
231,musst,must
232,meiner,mine
233,klar,clear
234,ihnen,them
235,Los,Go
236,diesem,this one
237,meinem,mine
238,lange,long
239,Lass,Let
240,dieses,this
241,helfen,help
242,unsere,our
243,Weg,Away
244,selbst,himself
245,Nur,Only
246,finden,find
247,Mal,Just
248,jemand,someone
249,denke,think
250,Ach,Oh
251,Nacht,Night
252,genau,Exactly
253,gar,even
254,sagt,says
255,Welt,World
256,Auf,On
257,Mädchen,Girl
258,ins,into the
259,hin,there
260,vom,from the
261,schön,nice
262,warum,Why
263,weiter,further
264,Leid,Sorrow
265,gleich,even
266,wer,who
267,Man,Man
268,ohne,without
269,Menschen,People
270,deinen,yours
271,leid,sorrow
272,Wieso,How come
273,dort,there
274,Als,As
275,Hause,home
276,sollten,should
277,davon,of that
278,zusammen,together
279,geben,give
280,Ok,OK
281,Hör,Listen
282,machst,do
